name,code,type,board,district,state,address,contact_email,contact_phone
Delhi Public School Central,DL-CD-001,SCHOOL,CBSE,Central Delhi,Delhi,"Mathura Road, New Delhi - 110001, Delhi",admin@delhipublicschoolcentral.meritquest.test,+91 9896233790
Convent of Jesus and Mary,DL-CD-002,SCHOOL,ICSE,Central Delhi,Delhi,"Bangla Sahib Marg, New Delhi - 110003, Delhi",admin@conventofjesusandmary.meritquest.test,+91 9339670711
Modern School Barakhamba,DL-CD-003,SCHOOL,CBSE,Central Delhi,Delhi,"Barakhamba Road, New Delhi - 110002, Delhi",admin@modernschoolbarakhamba.meritquest.test,+91 7210053353
The Mother's International School,DL-SD-001,SCHOOL,CBSE,South Delhi,Delhi,"Sri Aurobindo Marg, Hauz Khas - 110029, Delhi",admin@themothersinternationalsc.meritquest.test,+91 9734036506
Sanskriti School,DL-SD-002,SCHOOL,CBSE,South Delhi,Delhi,"Dr S Radhakrishnan Marg, Chanakyapuri - 110049, Delhi",admin@sanskritischool.meritquest.test,+91 9131994523
Sardar Patel Vidyalaya,DL-SD-003,SCHOOL,CBSE,South Delhi,Delhi,"Lodi Estate, New Delhi - 110016, Delhi",admin@sardarpatelvidyalaya.meritquest.test,+91 9349817734
Bal Bharati Public School Lajpat Nagar,DL-ED-001,SCHOOL,CBSE,East Delhi,Delhi,"1 Institutional Area, Lajpat Nagar - 110092, Delhi",admin@balbharatipublicschoollaj.meritquest.test,+91 7313500298
Ryan International Preet Vihar,DL-ED-002,SCHOOL,ICSE,East Delhi,Delhi,"D Block, Preet Vihar - 110096, Delhi",admin@ryaninternationalpreetvih.meritquest.test,+91 9582334538
Montfort School Ashok Vihar,DL-WD-001,SCHOOL,ICSE,West Delhi,Delhi,"B-3 Ashok Vihar Phase II - 110063, Delhi",admin@montfortschoolashokvihar.meritquest.test,+91 9914763202
Air Force Bal Bharati School,DL-WD-002,SCHOOL,CBSE,West Delhi,Delhi,"Lodhi Road, New Delhi - 110059, Delhi",admin@airforcebalbharatischool.meritquest.test,+91 7553778756
St Xavier's High School Andheri,MH-MS-001,SCHOOL,ICSE,Mumbai Suburban,Maharashtra,"SV Road, Andheri West - 400069, Maharashtra",admin@stxaviershighschoolandher.meritquest.test,+91 8266944844
Jamnabai Narsee School,MH-MS-002,SCHOOL,ICSE,Mumbai Suburban,Maharashtra,"Vile Parle West, Mumbai - 400058, Maharashtra",admin@jamnabainarseeschool.meritquest.test,+91 8209747451
DAV Public School Andheri,MH-MS-003,SCHOOL,CBSE,Mumbai Suburban,Maharashtra,"Andheri East, Mumbai - 400053, Maharashtra",admin@davpublicschoolandheri.meritquest.test,+91 8203848421
Cathedral and John Connon School,MH-MC-001,SCHOOL,ICSE,Mumbai City,Maharashtra,"6 Purshottamdas Thakurdas Marg, Fort - 400020, Maharashtra",admin@cathedralandjohnconnonsch.meritquest.test,+91 8748245888
St Mary's School ICSE Mumbai,MH-MC-002,SCHOOL,ICSE,Mumbai City,Maharashtra,"Mazagaon, Mumbai - 400020, Maharashtra",admin@stmarysschoolicsemumbai.meritquest.test,+91 9883543540
Symbiosis School Kothrud,MH-PU-001,SCHOOL,CBSE,Pune,Maharashtra,"Senapati Bapat Road, Kothrud - 411030, Maharashtra",admin@symbiosisschoolkothrud.meritquest.test,+91 7234031070
Loyola High School Pune,MH-PU-002,SCHOOL,STATE_BOARD,Pune,Maharashtra,"Pashan Road, Pune - 411030, Maharashtra",admin@loyolahighschoolpune.meritquest.test,+91 9692749116
DPS Pune,MH-PU-003,SCHOOL,CBSE,Pune,Maharashtra,"Nyati County, Undri, Pune - 411004, Maharashtra",admin@dpspune.meritquest.test,+91 7764130526
Centre Point School Nagpur,MH-NG-001,SCHOOL,CBSE,Nagpur,Maharashtra,"Residency Road, Civil Lines, Nagpur - 440012, Maharashtra",admin@centrepointschoolnagpur.meritquest.test,+91 7306468299
