student_id,subject,exam_type,marks_obtained,max_marks,grade,academic_year,semester,institution_id
1,Mathematics,UNIT_TEST_2,91.64,100.0,A+,2024-2025,Semester 2,1
1,Science,MID_TERM,97.94,100.0,A+,2024-2025,Semester 1,1
1,English,UNIT_TEST_2,91.54,100.0,A+,2024-2025,Semester 2,1
1,Hindi,MID_TERM,91.78,100.0,A+,2024-2025,Semester 1,1
1,Social Studies,MID_TERM,90.11,100.0,A+,2024-2025,Semester 1,1
1,Computer Science,FINAL,100,100.0,A+,2024-2025,Semester 2,1
1,Physical Education,FINAL,88.75,100.0,A,2024-2025,Semester 2,1
2,Mathematics,FINAL,91.66,100.0,A+,2024-2025,Semester 2,1
2,Science,UNIT_TEST_1,96.4,100.0,A+,2024-2025,Semester 1,1
2,English,UNIT_TEST_1,94.88,100.0,A+,2024-2025,Semester 1,1
2,Hindi,UNIT_TEST_2,89.75,100.0,A,2024-2025,Semester 2,1
2,Social Studies,MID_TERM,87.45,100.0,A,2024-2025,Semester 1,1
2,Computer Science,MID_TERM,91.4,100.0,A+,2024-2025,Semester 1,1
2,Physical Education,MID_TERM,86.84,100.0,A,2024-2025,Semester 1,1
3,Mathematics,MID_TERM,90.12,100.0,A+,2024-2025,Semester 1,1
3,Mathematics,MID_TERM,86.82,100.0,A,2023-2024,Semester 1,1
3,Science,MID_TERM,83.61,100.0,A,2024-2025,Semester 1,1
3,Science,MID_TERM,100,100.0,A+,2023-2024,Semester 1,1
3,English,MID_TERM,89.18,100.0,A,2024-2025,Semester 1,1
3,English,MID_TERM,95.02,100.0,A+,2023-2024,Semester 1,1
3,Hindi,FINAL,90.36,100.0,A+,2024-2025,Semester 2,1
3,Hindi,FINAL,96.56,100.0,A+,2023-2024,Semester 2,1
3,Social Studies,UNIT_TEST_1,92.71,100.0,A+,2024-2025,Semester 1,1
3,Social Studies,UNIT_TEST_1,89.32,100.0,A,2023-2024,Semester 1,1
3,Computer Science,UNIT_TEST_2,94.67,100.0,A+,2024-2025,Semester 2,1
3,Computer Science,UNIT_TEST_2,89.76,100.0,A,2023-2024,Semester 2,1
3,Physical Education,MID_TERM,90.21,100.0,A+,2024-2025,Semester 1,1
3,Physical Education,MID_TERM,91.45,100.0,A+,2023-2024,Semester 1,1
4,Mathematics,FINAL,87.66,100.0,A,2024-2025,Semester 2,1
4,Mathematics,FINAL,93.34,100.0,A+,2023-2024,Semester 2,1
4,Science,MID_TERM,93.34,100.0,A+,2024-2025,Semester 1,1
4,Science,MID_TERM,89.69,100.0,A,2023-2024,Semester 1,1
4,English,UNIT_TEST_2,90.59,100.0,A+,2024-2025,Semester 2,1
4,English,UNIT_TEST_2,89.54,100.0,A,2023-2024,Semester 2,1
4,Hindi,UNIT_TEST_2,83.85,100.0,A,2024-2025,Semester 2,1
4,Hindi,UNIT_TEST_2,98.99,100.0,A+,2023-2024,Semester 2,1
4,Social Studies,MID_TERM,98.29,100.0,A+,2024-2025,Semester 1,1
4,Social Studies,MID_TERM,86.8,100.0,A,2023-2024,Semester 1,1
4,Computer Science,MID_TERM,83.98,100.0,A,2024-2025,Semester 1,1
4,Computer Science,MID_TERM,88.1,100.0,A,2023-2024,Semester 1,1
